"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"ETWS Free License (EFL1)","ETWS Свободная лицензия (EFL1)"
"ETWS Commercial License (ECL1)","ETWS Коммерческая лицензия (ECL1)"
"Short Description:","Краткое описание:"
"Documentation:","Документация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"
"You can see description of extension features and answers to the frequently asked questions on <a href=""%s"" target=""_blank"">our website</a>.","Описание позможностей модуля и ответы на часто задаваемые вопросы смотрите на <a href=""%s"" target=""_blank"">нашем сайте</a>."
"You can hire our team to customize the extension. E-mail us on sales@etwebsolutions.com.<br><br>You can see a list of provided services on <a href=""%s"" target=""_blank"">our website</a>.","Вы можете нанять нашу команду для любых работ по модификации модуля. Пишите на адрес sales@etwebsolutions.com.<br><br>Со списком предоставляемых нами услуг вы можете ознакомиться <a href=""%s"" target=""_blank"">на нашем сайте</a>."
"Extension support is available through <a href=""%s"" target=""_blank"">issue tracking system</a>.<br>You can see information freely, but you will have to sign up to open a ticket.<br><br>Please, report all bugs and feature requests that are related to this extension.<br><br>If by some reason you can not submit a question, bug report or feature request to our ticket system, you can write us an email - support@etwebsolutions.com.","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания заданий</a>.<br>Для создания задачи будет необходимо зарегистрироваться. Для просмотра информации регистрация не требуется.<br><br>Пожалуйста, сообщайте нам о найденных ошибках и о своих пожеланиях в рамках этого модуля.<br><br>Если по каким-либо причинам вы не можете размеситить вопрос/сообщение об ошибке/пожелание в списке задач, то можете написать нам по адресу support@etwebsolutions.com."

"Auto generation settings","Настройки автогенерации файлов"
"Feed Salidzini information","Информация о модуле Feed Salidzini"
"Enabled","Включено"
"If Enabled - xml file will be automatically generated at every chosen moment.","Если Включено - xml файлы будут автоматически создаваться в указанное время."
"Start Time","Время запуска"
"Every day at this time xml file generation will be started.","Каждый день в это время будет запускаться создание xml файлов."
"Additional Start Time","Дополнительное время запуска"
"Add additional start time","Добавить дополнительное время запуска"
"Additional start time:","Дополнительное время запуска:"
"On this time will start xml file generation process.","В это время будет запускаться процесс генерации xml файлов."
"Error Email Recipient","Письмо об ошибке. Получатель"
"Error Email Sender","Письмо об ошибке. Отправитель"
"Error Email Template","Письмо об ошибке. Шаблон"
"Feed Salidzini cronjob errors","Feed Salidzini ошибки выполнения задач cron"
"Yes","Да"
"No","Нет"


"Filter options","Параметры фильтра"
"Include Out of Stock Products","Добавлять товары, которых нет в наличии"
"If Yes - Out of Stock products will be included to xml file with stock = 0. Minimum stock amount option will be ignored for those products.","Если Да - Товары, которых нет в наличии будут добавлены в файл с остатком = 0. Параметр Минимальное количество для таких товаров игнорируется."
"Minimum stock amount","Минимальное количество"
"If product qty is less than this number, it will not be exported. Default: 1.","Товар не экспортируется, если его количество меньше или равно этому числу. По умолчанию: 1."
"Minimal product price","Минимальная цена товара"
"If product price is less than this number, product will not be exported. Default: 0.","Товар не экспортируется, если его цена меньше или равна этому числу. По умолчанию: 0."
"Product Type","Тип товара"
"Only selected product types will be exported. Default: simple.<br>Since Configurable, Grouped and Bundled products have no stock values, option <strong>Minimum stock amount</strong> does not affect these product types - all products are exported.","Экспортируются товары только выбранных типов. По умолчанию: simple.<br>Так как у Configurable, Grouped и Bundled товаров нет количества, параметр <strong>Минимальное количество</strong> не влияет на эти типы товаров - все товары этих типов будут экспортированы."
"Product Visibility","Видимость товара"
"Only products with selected visibility will be exported. Default: Catalog, Search.","Экспортируются товары только с выбранной видимостью."
"Hide duplicates","Скрывать дубликаты"
"Product can be visible in more than one category. If Yes - only one product will be exported. Otherwise product from each category will be included to the xml file.","Товар может находиться одновременно в нескольких категориях. Если Да - будет экспортироваться только один товар. Иначе в xml файл будут включены записи о товаре из каждой категории."

"Feed Salidzini other options","Другие настройки Feed Salidzini"
"Field mapping","Привязка полей"
"Product name mapping","Генерация поля Название"
"Name attribute can be combined from more than one attribute. Enter your formatted string for generating product name.<br><br>Use symbol @ to indicate attribute code. For example, ""@manufacturer - @model"". Default: @name.","Атрибут Название товара может быть составлен из нескольких атрибутов. Введите шаблон для генерации названия. <br><br>Используйте символ @ для обозначения кода атрибута. Пример: ""@manufacturer - @model"". По умолчанию: @name."
"Stock quantity hiding options","Параматры скрытия наличия товара"
"Include stock value","Экспортировать остаток"
"If No - stock attribute will not be included in any product.","Если Нет - атрибут с количеством не будет включён ни в один товар."
"Emulate stock value for Configurable, Grouped and Bundled products","Эмуляция количества для товаров типа Configurable, Grouped и Bundled"
"Configurable, Grouped and Bundled products have no stock values. If this parameter is enabled stock value will be emulated. If disabled - stock attribute will be skipped for these products.","У Configurable, Grouped и Bundled товаров нет количества. Если включить этот параметр, то количество будет эмулироваться. Если выключить - атрибут с количеством не будет включён в такие товары."
"Hide large stock","Скрывать большое количество"
"Large stock value","Большое количество это"
"If enabled - replace product quantity with this value if it is greater than quantity. Default: 5.","Если включено и реальный остаток больше этого значения, то оно будет использовано вместо реального количества. По умолчанию: 5."
"Hide all stock","Скрыть всё количество"
"Default stock value","Значение количества по умолчанию"
"If enabled - replace product qty with this value. Default: 1.","Если включено - это значение будет использоваться вместо реального количества товара. По умолчанию: 1."
"Delivery cost options","Параметры стоимости доставки"
"Include delivery cost","Добавлять стоимость доставки"
"If No - delivery cost attribute will not be included for products.","Если Нет - атрибут стоимости доставки не будет добавлен к товарам в xml файле."
"Default delivery cost","Стоимость доставки по умолчанию"
"Default: 3 Ls.","По умолчанию: 3 Ls."
"Free delivery from","Бесплатная доставка от"
"If product price is greater or equal than this value, delivery costs will be = 0 Ls. Default: 100.","Если цена товарв больше или равна этому значению, стоимость доставки будет = 0 Ls. По умолчанию: 100."
"Product image sizes","Размер изображения товара"
"Image width","Ширина изображения"
"Image height","Высота изображения"
"Default: 180 px.","По умолчанию: 180 пикс."

"ID","ИД"
"Filename","Название файла"
"Path","Путь"
"External Link","Внешняя ссылка"
"Last Time Generated","Последнее создание"
"Store View","Представление магазина"
"Action","Действие"
"Generate","Сгенерировать"
"Edit XML File","Редактирование XML файла"
"New XML File","Новый XML файл"
